candidate_id,current_title,years_experience,ai_skill_count,domain_score,skill_score,experience_score,behavioral_score,verification_score,education_score,availability_score,trust_score,final_score
CAND_0064326,Search Engineer,7.6,9,0.49708405217551366,0.86,1.0,0.8442000000000001,0.8,0.92,0.8,1.0,0.7645452156526542
CAND_0018499,Senior Machine Learning Engineer,7.2,8,0.4645320012899898,0.7485999999999999,1.0,0.76,0.9333333333333333,1.0,1.0,1.0,0.7458429337203304
CAND_0088025,Staff Machine Learning Engineer,8.6,10,0.41476274625360665,0.9229999999999999,1.0,0.8326,0.9333333333333333,0.92,0.19999999999999996,1.0,0.7377721572094154
CAND_0069905,Applied ML Engineer,6.6,10,0.46641056446900403,0.889,1.0,0.8112000000000001,0.8666666666666667,0.92,0.19999999999999996,1.0,0.735959836007368
CAND_0011687,Senior NLP Engineer,7.8,8,0.411999824260081,0.7802666666666667,1.0,0.7938000000000002,0.8666666666666667,1.0,1.0,1.0,0.7347132806113577
CAND_0033861,Senior NLP Engineer,8.0,10,0.411999824260081,0.8592,1.0,0.5352,1.0,1.0,0.8333333333333334,1.0,0.7335866139446909
CAND_0070398,Machine Learning Engineer,7.2,10,0.490113393843891,0.8684,1.0,0.5966,1.0,1.0,0.0,1.0,0.7237940181531674
CAND_0050454,AI Engineer,6.8,10,0.43535073385533335,0.879,1.0,0.7514000000000001,0.4666666666666667,1.0,1.0,1.0,0.7221618868232667
CAND_0052682,NLP Engineer,6.6,8,0.33430795859472295,0.7577333333333334,1.0,0.8748000000000001,0.9333333333333333,1.0,1.0,1.0,0.7205390542450837
CAND_0010685,NLP Engineer,6.7,8,0.509238822628444,0.8076666666666668,1.0,0.8294000000000001,0.4,0.84,1.0,1.0,0.7196283134552
CAND_0071974,Senior AI Engineer,7.8,8,0.38956262573645556,0.7017333333333333,1.0,0.8182000000000001,1.0,1.0,0.8,1.0,0.71412212105427
CAND_0019480,NLP Engineer,2.8,10,0.46240896305942947,0.7637333333333334,1.0,0.8412000000000001,0.9333333333333333,0.92,0.19999999999999996,1.0,0.7131093555844955
